Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1654348210.204613,8250,0,1
4,Delivery,1654348210.212880,16941,0,1
1,NewOrder,1654348210.229847,44487,0,1
2,Payment,1654348210.274358,13886,0,1
3,OrderStatus,1654348210.288270,1539,0,1
1,NewOrder,1654348210.289828,14989,0,1
1,NewOrder,1654348210.304846,16679,0,1
2,Payment,1654348210.321551,8392,0,1
1,NewOrder,1654348210.329976,24987,0,1
1,NewOrder,1654348210.354990,16638,0,1
2,Payment,1654348210.371655,33336,0,1
2,Payment,1654348210.405031,8181,0,1
1,NewOrder,1654348210.413235,16873,0,1
1,NewOrder,1654348210.430126,8173,0,1
2,Payment,1654348210.438312,8932,0,1
2,Payment,1654348210.447256,7776,0,1
2,Payment,1654348210.455044,8242,0,1
1,NewOrder,1654348210.463299,8496,0,1
1,NewOrder,1654348210.471809,16915,0,1
1,NewOrder,1654348210.488757,24763,0,1
2,Payment,1654348210.513553,8227,0,1
1,NewOrder,1654348210.521813,16687,0,1
1,NewOrder,1654348210.538535,16672,0,1
1,NewOrder,1654348210.555226,25231,0,1
1,NewOrder,1654348210.580477,8050,0,1
1,NewOrder,1654348210.588544,8296,0,1
1,NewOrder,1654348210.596853,8370,0,1
1,NewOrder,1654348210.605236,16789,0,1
1,NewOrder,1654348210.622052,16729,0,1
3,OrderStatus,1654348210.638810,1649,0,1
1,NewOrder,1654348210.640481,14969,0,1
2,Payment,1654348210.655481,8288,0,1
1,NewOrder,1654348210.663786,16696,0,1
2,Payment,1654348210.680501,33531,0,1
1,NewOrder,1654348210.714066,33273,0,1
2,Payment,1654348210.747372,8223,0,1
1,NewOrder,1654348210.755622,16789,0,1
2,Payment,1654348210.772438,8216,0,1
2,Payment,1654348210.780674,8780,0,1
1,NewOrder,1654348210.789494,16206,0,1
1,NewOrder,1654348210.805739,50002,0,1
2,Payment,1654348210.855763,22420,0,1
2,Payment,1654348210.878204,10857,0,1
2,Payment,1654348210.889081,33376,0,1
2,Payment,1654348210.922478,8214,0,1
2,Payment,1654348210.930707,8364,0,1
4,Delivery,1654348210.939097,33634,0,1
1,NewOrder,1654348210.972764,16454,0,1
2,Payment,1654348210.989272,8280,0,1
2,Payment,1654348210.997608,8281,0,1
1,NewOrder,1654348211.005917,41748,0,1
1,NewOrder,1654348211.047685,16637,0,1
2,Payment,1654348211.064338,8212,0,1
3,OrderStatus,1654348211.072561,870,0,1
1,NewOrder,1654348211.073438,15902,0,1
1,NewOrder,1654348211.089351,8274,0,1
1,NewOrder,1654348211.097635,8323,0,1
2,Payment,1654348211.105967,8371,0,1
1,NewOrder,1654348211.114353,8347,0,1
1,NewOrder,1654348211.122714,8398,0,1
1,NewOrder,1654348211.131127,41754,0,1
1,NewOrder,1654348211.172904,16581,0,1
1,NewOrder,1654348211.189498,8292,0,1
1,NewOrder,1654348211.197801,8363,0,1
1,NewOrder,1654348211.206172,8355,0,1
2,Payment,1654348211.214543,8412,0,1
2,Payment,1654348211.222963,8367,0,1
1,NewOrder,1654348211.231339,16920,0,1
2,Payment,1654348211.248292,8116,0,1
2,Payment,1654348211.256429,8277,0,1
2,Payment,1654348211.264719,58383,0,1
1,NewOrder,1654348211.323119,16807,0,1
1,NewOrder,1654348211.339943,8125,0,1
1,NewOrder,1654348211.348081,8372,0,1
1,NewOrder,1654348211.356463,8342,0,1
1,NewOrder,1654348211.364818,8296,0,1
1,NewOrder,1654348211.373124,16906,0,1
1,NewOrder,1654348211.390041,16684,0,1
1,NewOrder,1654348211.406741,33297,0,1
2,Payment,1654348211.440064,40829,0,1
2,Payment,1654348211.480915,17573,0,1
2,Payment,1654348211.498504,8308,0,1
1,NewOrder,1654348211.506828,16676,0,1
1,NewOrder,1654348211.523522,33529,0,1
2,Payment,1654348211.557075,8039,0,1
1,NewOrder,1654348211.565132,25138,0,1
1,NewOrder,1654348211.590291,16671,0,1
1,NewOrder,1654348211.606980,16627,0,1
2,Payment,1654348211.623625,8415,0,1
2,Payment,1654348211.632056,8211,0,1
3,OrderStatus,1654348211.640281,1156,0,1
3,OrderStatus,1654348211.641449,1109,0,1
2,Payment,1654348211.642570,5942,0,1
1,NewOrder,1654348211.648524,33436,0,1
2,Payment,1654348211.681977,8353,0,1
2,Payment,1654348211.690345,8272,0,1
2,Payment,1654348211.698631,8302,0,1
1,NewOrder,1654348211.706946,16753,0,1
1,NewOrder,1654348211.723714,16673,0,1
1,NewOrder,1654348211.740403,8778,0,1
1,NewOrder,1654348211.749195,16329,0,1
1,NewOrder,1654348211.765542,16597,0,1
2,Payment,1654348211.782154,8376,0,1
2,Payment,1654348211.790560,8253,0,1
2,Payment,1654348211.798834,8309,0,1
1,NewOrder,1654348211.807169,92822,0,1
1,NewOrder,1654348211.900007,7274,0,1
2,Payment,1654348211.907295,8236,0,1
1,NewOrder,1654348211.915546,16775,0,1
1,NewOrder,1654348211.932337,8295,0,1
1,NewOrder,1654348211.940647,16677,0,1
1,NewOrder,1654348211.957338,16692,0,1
1,NewOrder,1654348211.974046,16695,0,1
2,Payment,1654348211.990764,8251,0,1
1,NewOrder,1654348211.999026,25146,0,1
2,Payment,1654348212.024195,8215,0,1
2,Payment,1654348212.032430,8325,0,1
1,NewOrder,1654348212.040769,16765,0,1
1,NewOrder,1654348212.057557,16679,0,1
2,Payment,1654348212.074256,8262,0,1
1,NewOrder,1654348212.082537,16840,0,1
1,NewOrder,1654348212.099395,16541,0,1
2,Payment,1654348212.115952,8346,0,1
2,Payment,1654348212.124313,33394,0,1
1,NewOrder,1654348212.157731,16685,0,1
2,Payment,1654348212.174434,8246,0,1
2,Payment,1654348212.182694,8322,0,1
4,Delivery,1654348212.191032,25069,0,1
3,OrderStatus,1654348212.216119,1591,0,1
1,NewOrder,1654348212.217729,15103,0,1
4,Delivery,1654348212.232851,41918,0,1
2,Payment,1654348212.274792,8185,0,1
1,NewOrder,1654348212.282993,8305,0,1
2,Payment,1654348212.291313,8358,0,1
1,NewOrder,1654348212.299685,16630,0,1
1,NewOrder,1654348212.316326,16689,0,1
3,OrderStatus,1654348212.333027,824,0,1
2,Payment,1654348212.333860,7438,0,1
2,Payment,1654348212.341322,8350,0,1
1,NewOrder,1654348212.349678,8411,0,1
5,StockLevel,1654348212.358096,1576,0,1
1,NewOrder,1654348212.359682,57054,0,1
2,Payment,1654348212.416763,8075,0,1
2,Payment,1654348212.424866,8259,0,1
1,NewOrder,1654348212.433138,16815,0,1
1,NewOrder,1654348212.449972,25003,0,1
1,NewOrder,1654348212.474992,16736,0,1
1,NewOrder,1654348212.491748,33385,0,1
2,Payment,1654348212.525170,8207,0,1
2,Payment,1654348212.533395,8317,0,1
2,Payment,1654348212.541728,8415,0,1
2,Payment,1654348212.550166,8268,0,1
1,NewOrder,1654348212.558449,25089,0,1
2,Payment,1654348212.583555,8354,0,1
2,Payment,1654348212.591927,8197,0,1
1,NewOrder,1654348212.600142,9562,0,1
1,NewOrder,1654348212.609719,15517,0,1
1,NewOrder,1654348212.625255,24989,0,1
2,Payment,1654348212.650266,8274,0,1
1,NewOrder,1654348212.658560,16685,0,1
1,NewOrder,1654348212.675263,8263,0,1
2,Payment,1654348212.683543,8447,0,1
1,NewOrder,1654348212.692004,8200,0,1
2,Payment,1654348212.700213,8411,0,1
1,NewOrder,1654348212.708644,16745,0,1
4,Delivery,1654348212.725410,25089,0,1
2,Payment,1654348212.750518,33291,0,1
1,NewOrder,1654348212.783832,16664,0,1
1,NewOrder,1654348212.800522,16681,0,1
2,Payment,1654348212.817220,47582,0,1
1,NewOrder,1654348212.864817,27436,0,1
2,Payment,1654348212.892269,24898,0,1
2,Payment,1654348212.917187,8322,0,1
1,NewOrder,1654348212.925528,8305,0,1
1,NewOrder,1654348212.933850,16779,0,1
1,NewOrder,1654348212.950647,16715,0,1
1,NewOrder,1654348212.967386,8330,0,1
2,Payment,1654348212.975741,8326,0,1
2,Payment,1654348212.984092,8318,0,1
2,Payment,1654348212.992423,8336,0,1
2,Payment,1654348213.000775,8420,0,1
1,NewOrder,1654348213.009213,33267,0,1
1,NewOrder,1654348213.042496,16681,0,1
1,NewOrder,1654348213.059201,8346,0,1
1,NewOrder,1654348213.067556,8894,0,1
2,Payment,1654348213.076474,7688,0,1
1,NewOrder,1654348213.084169,8435,0,1
2,Payment,1654348213.092615,8306,0,1
1,NewOrder,1654348213.100936,2429,0,1
2,Payment,1654348213.103374,5875,0,1
2,Payment,1654348213.109260,8326,0,1
1,NewOrder,1654348213.117600,8337,0,1
5,StockLevel,1654348213.125951,1701,0,1
1,NewOrder,1654348213.127662,6686,0,1
1,NewOrder,1654348213.134361,8322,0,1
2,Payment,1654348213.142695,8428,0,1
1,NewOrder,1654348213.151139,16674,0,1
2,Payment,1654348213.167825,8343,0,1
2,Payment,1654348213.176177,33359,0,1
2,Payment,1654348213.209554,8265,0,1
2,Payment,1654348213.217838,8349,0,1
2,Payment,1654348213.226198,8391,0,1
2,Payment,1654348213.234634,8248,0,1
2,Payment,1654348213.242915,8357,0,1
2,Payment,1654348213.251303,8321,0,1
1,NewOrder,1654348213.259636,16644,0,1
1,NewOrder,1654348213.276294,16657,0,1
1,NewOrder,1654348213.292972,38744,0,1
1,NewOrder,1654348213.331737,11311,0,1
3,OrderStatus,1654348213.343066,1129,0,1
2,Payment,1654348213.344211,7155,0,1
5,StockLevel,1654348213.351381,2366,0,1
1,NewOrder,1654348213.353762,14283,0,1
2,Payment,1654348213.368062,8908,0,1
1,NewOrder,1654348213.376988,24522,0,1
1,NewOrder,1654348213.401529,19047,0,1
2,Payment,1654348213.420596,5847,0,1
2,Payment,1654348213.426462,8323,0,1
1,NewOrder,1654348213.434805,8338,0,1
1,NewOrder,1654348213.443160,16825,0,1
1,NewOrder,1654348213.460007,24971,0,1
1,NewOrder,1654348213.485001,33354,0,1
1,NewOrder,1654348213.518377,16774,0,1
1,NewOrder,1654348213.535173,16514,0,1
1,NewOrder,1654348213.551707,16699,0,1
1,NewOrder,1654348213.568425,16585,0,1
2,Payment,1654348213.585029,8386,0,1
2,Payment,1654348213.593433,8306,0,1
2,Payment,1654348213.601759,8352,0,1
1,NewOrder,1654348213.610130,33440,0,1
1,NewOrder,1654348213.643592,24867,0,1
2,Payment,1654348213.668481,8328,0,1
2,Payment,1654348213.676827,8280,0,1
4,Delivery,1654348213.685124,16774,0,1
2,Payment,1654348213.701921,8270,0,1
2,Payment,1654348213.710203,8361,0,1
2,Payment,1654348213.718596,8316,0,1
1,NewOrder,1654348213.726928,8255,0,1
1,NewOrder,1654348213.735197,33491,0,1
1,NewOrder,1654348213.768705,8278,0,1
1,NewOrder,1654348213.777002,8366,0,1
2,Payment,1654348213.785387,8281,0,1
5,StockLevel,1654348213.793686,2601,0,1
1,NewOrder,1654348213.796301,381191,0,1
1,NewOrder,1654348214.177511,35280,0,1
2,Payment,1654348214.212828,6047,0,1
2,Payment,1654348214.218901,16684,0,1
2,Payment,1654348214.235604,8316,0,1
1,NewOrder,1654348214.243937,8283,0,1
3,OrderStatus,1654348214.252234,759,0,1
2,Payment,1654348214.253000,7574,0,1
4,Delivery,1654348214.260589,16987,0,1
5,StockLevel,1654348214.277589,1486,0,1
2,Payment,1654348214.279084,6792,0,1
1,NewOrder,1654348214.285885,8364,0,1
1,NewOrder,1654348214.294266,8232,0,1
1,NewOrder,1654348214.302509,8324,0,1
2,Payment,1654348214.310844,33534,0,1
1,NewOrder,1654348214.344398,16634,0,1
1,NewOrder,1654348214.361054,16651,0,1
5,StockLevel,1654348214.377731,4028,0,1
1,NewOrder,1654348214.381779,12630,0,1
2,Payment,1654348214.394426,8234,0,1
2,Payment,1654348214.402676,8499,0,1
1,NewOrder,1654348214.411197,16649,0,1
3,OrderStatus,1654348214.427864,1520,0,1
2,Payment,1654348214.429400,6709,0,1
1,NewOrder,1654348214.436123,33361,0,1
1,NewOrder,1654348214.469504,16780,0,1
2,Payment,1654348214.486307,8209,0,1
5,StockLevel,1654348214.494542,4376,0,1
1,NewOrder,1654348214.498939,20617,0,1
5,StockLevel,1654348214.519574,3149,0,1
2,Payment,1654348214.522732,5164,0,1
2,Payment,1654348214.527912,8344,0,1
2,Payment,1654348214.536271,8386,0,1
1,NewOrder,1654348214.544683,16660,0,1
2,Payment,1654348214.561366,24930,0,1
2,Payment,1654348214.586311,8280,0,1
2,Payment,1654348214.594615,8387,0,1
2,Payment,1654348214.603014,8447,0,1
1,NewOrder,1654348214.611475,16579,0,1
1,NewOrder,1654348214.628069,16743,0,1
2,Payment,1654348214.644831,8235,0,1
1,NewOrder,1654348214.653079,16814,0,1
2,Payment,1654348214.669908,8243,0,1
