Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,ReadModifyWriteRecord,1654428023.123364,7767,0,1
3,ScanRecord,1654428023.131141,1039,0,1
1,ReadRecord,1654428023.132186,384,0,1
1,ReadRecord,1654428023.132578,290,0,1
6,ReadModifyWriteRecord,1654428023.132872,6676,0,1
1,ReadRecord,1654428023.139560,429,0,1
1,ReadRecord,1654428023.139996,260,0,1
1,ReadRecord,1654428023.140261,226,0,1
6,ReadModifyWriteRecord,1654428023.140491,7350,0,1
6,ReadModifyWriteRecord,1654428023.147850,516,0,1
2,InsertRecord,1654428023.148372,7856,0,1
1,ReadRecord,1654428023.156239,341,0,1
1,ReadRecord,1654428023.156584,215,0,1
1,ReadRecord,1654428023.156803,197,0,1
5,DeleteRecord,1654428023.157004,207,0,1
3,ScanRecord,1654428023.157215,310,0,1
1,ReadRecord,1654428023.157529,222,0,1
1,ReadRecord,1654428023.157759,247,0,1
2,InsertRecord,1654428023.158015,6461,0,1
1,ReadRecord,1654428023.164484,437,0,1
1,ReadRecord,1654428023.164926,288,0,1
3,ScanRecord,1654428023.165219,1494,0,1
2,InsertRecord,1654428023.166721,6169,0,1
1,ReadRecord,1654428023.172900,510,0,1
5,DeleteRecord,1654428023.173414,283,0,1
1,ReadRecord,1654428023.173702,296,0,1
6,ReadModifyWriteRecord,1654428023.174003,7203,0,1
1,ReadRecord,1654428023.181217,399,0,1
6,ReadModifyWriteRecord,1654428023.181621,7941,0,1
2,InsertRecord,1654428023.189572,8460,0,1
4,UpdateRecord,1654428023.198041,467,0,1
